Id,Label,initial_assets,initial_reserves,initial_customer_loans,initial_interbank_assets,initial_deposits,initial_interbank_liabilities,initial_equity,initial_equity_ratio,initial_reserve_ratio,interbank_assets,interbank_liabilities,total_assets,reserves,customer_loans,deposits,equity,equity_ratio,reserve_ratio,interbank_asset_ratio,interbank_liability_ratio,out_degree,in_degree,degree,weighted_out_degree,weighted_in_degree
B026,Bank 026,115.5241632920,11.8867433211,0.0000000000,103.6374199709,71.1764312432,17.6296156051,26.7181164437,0.2312772989,0.1028940005,3.0517764272,1.7347823317,99.6293300186,96.5775535914,0.0000000000,71.1764312432,26.7181164437,0.2681752094,0.9693686947,0.0306313053,0.0174123657,5,11,16,3.0517764272,1.7347823317
B027,Bank 027,152.0653785467,30.1728941677,60.4145464854,61.4779378936,36.0148027441,114.9572237000,1.0933521026,0.0071900134,0.1984205376,1.9001750778,7.3612203938,92.4876157309,30.1728941677,60.4145464854,82.6182371246,2.5081582125,0.0271188547,0.3262371284,0.0205451839,0.0795914170,4,3,7,1.9001750778,7.3612203938
B028,Bank 028,103.0311737333,2.1847572954,21.6443481702,79.2020682677,75.3295418906,13.3551268861,14.3465049566,0.1392443125,0.0212048181,0.9928989887,0.8564801177,90.5325269650,8.2093872860,81.3302406902,75.3295418906,14.3465049566,0.1584679610,0.0906788705,0.0109673177,0.0094604685,3,4,7,0.9928989887,0.8564801177
B029,Bank 029,111.8198354552,15.5279092573,82.1901587844,14.1017674134,5.3830164312,88.6731420135,17.7636770105,0.1588598028,0.1388654275,0.6253636636,9.0373668029,98.3434317054,15.5279092573,82.1901587844,20.7691010374,68.5369638651,0.6969145034,0.1578947266,0.0063589774,0.0918959878,8,9,17,0.6253636636,9.0373668029
B030,Bank 030,215.1155835889,43.1338897877,11.4332985772,160.5483952241,167.5842275532,41.6439751819,5.8873808539,0.0273684535,0.2005149467,10.2332612378,2.0020334990,175.4736419061,130.6180615457,34.6223191226,167.5842275532,5.8873808539,0.0335513687,0.7443742555,0.0583179395,0.0114093118,14,6,20,10.2332612378,2.0020334990
B031,Bank 031,248.5249270066,57.4528535872,94.3387491930,96.7333242265,222.2921845122,17.2996234265,8.9331190680,0.0359445597,0.2311754168,8.6517537189,1.9600290853,233.1853326654,84.9855631033,139.5480158432,222.2921845122,8.9331190680,0.0383090950,0.3644550115,0.0371024782,0.0084054561,13,14,27,8.6517537189,1.9600290853
B032,Bank 032,982.1198181362,201.9687888398,341.6746403600,438.4763889364,678.4085658960,200.2356331348,103.4756191054,0.1053594655,0.2056457727,93.3190269359,23.6495113239,805.5336963253,264.5946339906,447.6200353988,678.4085658960,103.4756191054,0.1284559784,0.3284712175,0.1158474529,0.0293588107,38,24,62,93.3190269359,23.6495113239
B033,Bank 033,130.0623883050,1.2021252693,50.3242358948,78.5360271408,68.8629055675,29.7774832418,31.4219994956,0.2415917461,0.0092426818,0.0000000000,0.2391220753,100.5240271385,2.3452553307,98.1787718078,68.8629055675,31.4219994956,0.3125819805,0.0233302962,0.0000000000,0.0023787554,0,1,1,0.0000000000,0.2391220753
B034,Bank 034,136.1395502869,12.6848822841,79.5661037375,43.8885642654,97.0366968330,18.7616175815,20.3412358724,0.1494145958,0.0931755853,1.0243273519,2.1760418755,119.5539745809,16.2983040845,102.2313431445,97.0366968330,20.3412358724,0.1701426987,0.1363259075,0.0085679071,0.0182013344,5,10,15,1.0243273519,2.1760418755
B035,Bank 035,152.6066771298,1.8579280103,108.8993643054,41.8493848142,4.6977045622,112.3023580807,35.6066144869,0.2333227822,0.0121746181,0.0000000000,4.4712042175,110.7572923156,1.8579280103,108.8993643054,12.3882663877,93.8978217104,0.8477800400,0.0167747692,0.0000000000,0.0403693890,0,2,2,0.0000000000,4.4712042175
B036,Bank 036,115.0326406750,3.1427576315,62.0735940626,49.8162889809,18.5393762675,73.3388194824,23.1544449252,0.2012858680,0.0273205728,1.6241342439,0.0781670253,66.8404859380,3.1427576315,62.0735940626,29.6862152570,37.0761036557,0.5546953038,0.0470187729,0.0242986600,0.0011694563,5,1,6,1.6241342439,0.0781670253
B037,Bank 037,109.7221671764,18.5239992710,64.6917322277,26.5064356777,12.0980084320,84.7451881442,12.8789706002,0.1173780188,0.1688264072,1.2981641771,6.8465970858,84.5138956758,18.5239992710,64.6917322277,37.6194267538,40.0478718362,0.4738613871,0.2191828826,0.0153603637,0.0810114956,10,8,18,1.2981641771,6.8465970858
B038,Bank 038,153.7975729154,27.4243448637,123.8228145876,2.5504134641,62.3553844669,61.2354071375,30.2067813110,0.1964060989,0.1783145491,0.0818779712,4.1410307596,151.3290374224,27.4243448637,123.8228145876,99.1546023933,48.0334042695,0.3174103602,0.1812232823,0.0005410592,0.0273644162,5,5,10,0.0818779712,4.1410307596
B039,Bank 039,118.7170380142,22.9634569266,26.8113190861,68.9422620015,87.9851492051,30.0859067609,0.6459820482,0.0054413592,0.1934301707,1.3943851662,2.5629629290,91.1940941823,41.4288504179,48.3708585982,87.9851492051,0.6459820482,0.0070835952,0.4542931293,0.0152903012,0.0281044837,4,5,9,1.3943851662,2.5629629290
B040,Bank 040,209.3281130600,45.2910965350,62.4256027289,101.6114137962,128.1632497731,75.2666553571,5.8982079299,0.0281768552,0.2163641370,1.5179184819,5.3766662769,139.4381239799,57.9906122637,79.9295932343,128.1632497731,5.8982079299,0.0422998228,0.4158877831,0.0108859646,0.0385595139,6,9,15,1.5179184819,5.3766662769
B041,Bank 041,146.6918120851,27.1171355059,0.0000000000,119.5746765792,98.9433043624,17.3058896690,30.4426180537,0.2075277251,0.1848578671,3.0735591502,0.8570890811,130.2430114972,127.1694523471,0.0000000000,98.9433043624,30.4426180537,0.2337370559,0.9764013507,0.0235986493,0.0065806915,5,5,10,3.0735591502,0.8570890811
B042,Bank 042,329.3302631780,65.9378130501,196.2184808968,67.1739692311,40.9233572489,222.7359962966,65.6709096325,0.1994074550,0.2002178980,3.6575336101,14.3800326717,265.8138275571,65.9378130501,196.2184808968,96.5297225974,154.9040722879,0.5827540039,0.2480601316,0.0137597568,0.0540981363,6,5,11,3.6575336101,14.3800326717
B043,Bank 043,223.2758713638,2.7331037440,113.4217177853,107.1210498345,154.3576820625,55.7610904000,13.1570989013,0.0589275447,0.0122409275,9.4057787267,0.7696891540,168.2844701177,3.7383893373,155.1403020537,154.3576820625,13.1570989013,0.0781836785,0.0222147019,0.0558921374,0.0045737385,6,3,9,9.4057787267,0.7696891540
B044,Bank 044,128.3597044899,7.5262156508,44.8395929936,75.9938958456,21.4791702011,89.7879470618,17.0925872271,0.1331616281,0.0586337876,1.6668668878,5.0993251743,54.0326755322,7.5262156508,44.8395929936,27.2491540684,21.6841962895,0.4013163530,0.1392900791,0.0308492384,0.0943748412,4,3,7,1.6668668878,5.0993251743
B045,Bank 045,328.7824025747,51.1172610215,0.0000000000,277.6651415532,75.4986499458,203.3423831819,49.9413694471,0.1518979394,0.1554744433,18.1098211778,1.3541820344,126.7942014273,108.6843802495,0.0000000000,75.4986499458,49.9413694471,0.3938773925,0.8571715349,0.1428284651,0.0106801574,5,2,7,18.1098211778,1.3541820344
B046,Bank 046,297.1396421535,63.7457614848,200.6064292914,32.7874513773,165.1525351715,67.4878964301,64.4992105519,0.2170669995,0.2145313262,1.9908376448,7.3023719919,266.3430284210,63.7457614848,200.6064292914,186.2873760746,72.7532803545,0.2731563157,0.2393370754,0.0074747128,0.0274171696,7,8,15,1.9908376448,7.3023719919
B047,Bank 047,138.6497373539,0.1559852852,54.6116647993,83.8820872694,115.3598561465,2.3296898787,20.9601913287,0.1511736822,0.0011250312,1.6132793909,0.0675459603,136.3875934355,0.3838545161,134.3904595286,115.3598561465,20.9601913287,0.1536810703,0.0028144387,0.0118286374,0.0004952500,3,3,6,1.6132793909,0.0675459603
B048,Bank 048,125.4527318014,16.1404142084,69.4913119643,39.8210056287,68.7616448655,43.6778348273,13.0132521086,0.1037303207,0.1286573355,0.8988560985,1.5983772224,86.5305822712,16.1404142084,69.4913119643,71.4165145700,13.5156904788,0.1561955337,0.1865284364,0.0103877274,0.0184718186,5,5,10,0.8988560985,1.5983772224
B049,Bank 049,214.8655290153,36.3814288400,0.0000000000,178.4841001753,10.6074644120,184.0237852178,20.2342793855,0.0941718268,0.1693218498,6.6222962887,23.3914064641,54.2331502616,47.6108539728,0.0000000000,10.6074644120,20.2342793855,0.3730979906,0.8778920963,0.1221079037,0.4313119624,8,10,18,6.6222962887,23.3914064641
B050,Bank 050,110.5565255474,0.8183197542,105.4872664292,4.2509393640,60.8432800912,37.8787620338,11.8344834224,0.1070446395,0.0074018223,0.1238978313,2.1073127732,106.4294840147,0.8183197542,105.4872664292,87.3348707736,16.9873004679,0.1596108506,0.0076888445,0.0011641307,0.0198000845,5,5,10,0.1238978313,2.1073127732
B051,Bank 051,116.0308448897,11.6424061110,9.0623422768,95.3260965019,4.1113674595,92.9680637661,18.9514136642,0.1633308254,0.1003388894,7.2308334749,5.1804359951,28.2432171187,11.8153912890,9.1969923548,4.1113674595,18.9514136642,0.6710076117,0.4183443848,0.2560201780,0.1834223054,6,4,10,7.2308334749,5.1804359951
B052,Bank 052,100.4938491025,22.5014491552,0.0000000000,77.9923999473,69.5700349438,9.1161296209,21.8076845377,0.2170051673,0.2239087203,1.1614778796,0.0000000000,91.3777194816,90.2162416020,0.0000000000,69.5700349438,21.8076845377,0.2386542875,0.9872892661,0.0127107339,0.0000000000,4,0,4,1.1614778796,0.0000000000
B053,Bank 053,280.3135916661,47.0655496648,193.7190211577,39.5290208436,176.2252893095,72.1268559150,31.9614464416,0.1140203236,0.1679032022,0.4821749841,0.3323410391,241.2667458067,47.0655496648,193.7190211577,203.9454388465,36.9889659211,0.1533114968,0.1950768205,0.0019985141,0.0013774838,3,1,4,0.4821749841,0.3323410391
B054,Bank 054,207.2563875414,12.3140534648,176.8245494187,18.1177846579,33.6316274914,160.6272868681,12.9974731818,0.0627120512,0.0594145908,0.6190564222,23.8426677463,189.7576593057,12.3140534648,176.8245494187,119.6675704829,46.2474210765,0.2437183366,0.0648935780,0.0032623528,0.1256479861,7,9,16,0.6190564222,23.8426677463
B055,Bank 055,225.7430283287,48.1273486762,0.0000000000,177.6156796525,19.4645265237,192.7499640265,13.5285377784,0.0599289284,0.2131952824,12.8498131107,17.3841607480,60.9771617869,48.1273486762,0.0000000000,25.7180453806,17.8749556582,0.2931418114,0.7892684288,0.2107315712,0.2850929797,6,6,12,12.8498131107,17.3841607480
B056,Bank 056,275.0083684142,23.9278884772,105.2712872593,145.8091926777,41.0469272483,182.6015504617,51.3598907043,0.1867575558,0.0870078559,3.7653742949,6.2842429010,132.9645500314,23.9278884772,105.2712872593,56.2711439024,70.4091632280,0.5295333471,0.1799569018,0.0283186330,0.0472625440,5,8,13,3.7653742949,6.2842429010
B057,Bank 057,150.5994613813,32.1283119617,78.3356255913,40.1355238282,117.4348269680,2.3933057797,30.7713286335,0.2043256221,0.2133361678,0.4588555249,0.1953447493,148.4015003508,43.0289518072,104.9136930187,117.4348269680,30.7713286335,0.2073518702,0.2899495740,0.0030919871,0.0013163260,3,7,10,0.4588555249,0.1953447493
B058,Bank 058,175.1894774408,13.0929455059,140.7874884023,21.3090435326,78.1487432238,92.2730854025,4.7676488145,0.0272142419,0.0747359128,0.3352555132,5.2624956193,154.2156894214,13.0929455059,140.7874884023,140.3884637120,8.5647300901,0.0555373459,0.0849002171,0.0021739391,0.0341242557,3,3,6,0.3352555132,5.2624956193
B059,Bank 059,110.5603396301,16.3165018570,25.5916928440,68.6521449291,85.1648697546,23.4525758481,1.9428940274,0.0175731554,0.1475800627,0.8162157131,1.0617238918,88.1694876738,34.0100506436,53.3432213171,85.1648697546,1.9428940274,0.0220359002,0.3857349242,0.0092573489,0.0120418517,3,3,6,0.8162157131,1.0617238918
B060,Bank 060,108.4469784528,10.7617377435,45.3074634065,52.3777773028,58.7321290524,33.5547332755,16.1601161250,0.1490139823,0.0992350169,0.4963919936,0.0000000000,74.8922451774,14.2792949560,60.1165582277,58.7321290524,16.1601161250,0.2157782303,0.1906645331,0.0066280827,0.0000000000,2,0,2,0.4963919936,0.0000000000
B061,Bank 061,208.7338602078,14.3413234315,140.4800061158,53.9125306605,115.0137213652,85.9140899080,7.8060489345,0.0373971378,0.0687062627,2.0010722386,3.1885904129,156.8224017858,14.3413234315,140.4800061158,143.8693162379,9.7644951350,0.0622646703,0.0914494566,0.0127601173,0.0203324932,6,1,7,2.0010722386,3.1885904129
B062,Bank 062,152.9028375860,33.8892917348,77.9034737566,41.1100720946,17.6119416590,103.7407128901,31.5501830369,0.2063413834,0.2216393905,0.4436210829,0.0000000000,112.2363865743,33.8892917348,77.9034737566,40.2077962373,72.0285903371,0.6417579230,0.3019456771,0.0039525603,0.0000000000,3,0,3,0.4436210829,0.0000000000
B063,Bank 063,174.2466164798,8.1718910877,128.2562624079,37.8184629842,151.9388616776,8.6688912258,13.6388635765,0.0782733338,0.0468984205,3.1197316116,0.8860443336,166.4637695876,9.7841219277,153.5599160483,151.9388616776,13.6388635765,0.0819329252,0.0587762848,0.0187412049,0.0053227458,7,11,18,3.1197316116,0.8860443336
B064,Bank 064,262.5951400133,5.5677779188,144.0940729857,112.9332891088,76.2171779459,176.7081294022,9.6698326653,0.0368241113,0.0212028978,8.9175547303,11.3719340062,158.5794056348,5.5677779188,144.0940729857,130.6337009548,16.5737706738,0.1045140169,0.0351103467,0.0562340027,0.0717112916,8,6,14,8.9175547303,11.3719340062
B065,Bank 065,195.6957552320,16.7284126182,3.7443177597,175.2230248541,87.0625636604,63.5602227886,45.0729687830,0.2303216476,0.0854817346,0.2143572659,5.0977691159,137.2333015594,111.9591473314,25.0597969621,87.0625636604,45.0729687830,0.3284404607,0.8158307500,0.0015619916,0.0371467352,1,4,5,0.2143572659,5.0977691159
B066,Bank 066,171.2000350298,30.7149618037,124.0452972606,16.4397759655,114.7439514874,49.2284633614,7.2276201810,0.0422173990,0.1794097869,1.4858467159,1.8953242604,156.2461057802,30.7149618037,124.0452972606,145.2044795725,9.1463019473,0.0585377914,0.1965806549,0.0095096560,0.0121303776,11,6,17,1.4858467159,1.8953242604
B067,Bank 067,172.6541332200,34.8516010161,114.5930754994,23.2094567045,104.0338430224,56.2072694068,12.4130207908,0.0718953005,0.2018579015,1.4824458869,3.0847352471,150.9271224024,34.8516010161,114.5930754994,132.0826615137,15.7597256416,0.1044194403,0.2309167528,0.0098222630,0.0204385746,5,7,12,1.4824458869,3.0847352471
B068,Bank 068,127.3228688399,31.7907177779,69.8253373642,25.7068136977,115.0586625829,7.2668173444,4.9973889127,0.0392497354,0.2496858425,1.6663700051,0.2950663677,120.3511178633,37.1306809581,81.5540669001,115.0586625829,4.9973889127,0.0415234108,0.3085196184,0.0138459038,0.0024517127,5,9,14,1.6663700051,0.2950663677
B069,Bank 069,102.1087729970,7.5652915011,2.6315435103,91.9119379857,14.7058981724,84.3644214268,3.0384533979,0.0297570259,0.0740905143,6.0919841257,4.2656479932,22.0099995634,11.8099809177,4.1080345200,14.7058981724,3.0384533979,0.1380487714,0.5365734281,0.2767825646,0.1938050013,4,2,6,6.0919841257,4.2656479932
B070,Bank 070,146.6163613407,14.9527411283,15.0152571008,116.6483631116,74.0658168112,71.6318675122,0.9186770173,0.0062658561,0.1019854878,3.0765233118,7.7664277898,82.7509216183,39.7540951291,39.9203031774,74.0658168112,0.9186770173,0.0111017134,0.4804066753,0.0371781154,0.0938530670,7,9,16,3.0765233118,7.7664277898
B071,Bank 071,117.4718347493,4.0181616407,83.3339375687,30.1197355399,46.7605243504,68.9734958767,1.7378145222,0.0147934569,0.0342053195,2.1290634483,1.0171384776,89.4811626577,4.0181616407,83.3339375687,85.2941410566,3.1698831236,0.0354251446,0.0449051121,0.0237934263,0.0113670682,7,1,8,2.1290634483,1.0171384776
B072,Bank 072,141.9201914451,20.3964835771,0.0000000000,121.5237078680,64.3004892035,71.3062794538,6.3134227878,0.0444857263,0.1437179824,0.1071592261,1.4646402291,72.0785522204,71.9713929943,0.0000000000,64.3004892035,6.3134227878,0.0875908657,0.9985132994,0.0014867006,0.0203200562,1,2,3,0.1071592261,1.4646402291
B073,Bank 073,359.6803864063,89.7024933185,262.5054013119,7.4724917759,42.2673576461,312.2724402693,5.1405884909,0.0142921012,0.2493950093,0.4019469793,8.0407540677,352.6098416097,89.7024933185,262.5054013119,307.2064082856,37.3626792565,0.1059603983,0.2543958867,0.0011399199,0.0228035441,5,2,7,0.4019469793,8.0407540677
B074,Bank 074,119.4422424132,20.9286998784,24.1183064575,74.3952360773,13.6429896961,88.0985322714,17.7007204457,0.1481948102,0.1752202525,1.7001290032,8.0670225736,46.7471353391,20.9286998784,24.1183064575,16.8363087049,21.8438040606,0.4672757786,0.4477001580,0.0363686243,0.1725672068,6,8,14,1.7001290032,8.0670225736
B075,Bank 075,104.0860344260,15.4883360495,59.3820530953,29.2156452812,24.0089264844,62.3306558652,17.7464520764,0.1704979172,0.1488032101,0.7455689626,4.6015381609,75.6159581074,15.4883360495,59.3820530953,40.8325836477,30.1818362988,0.3991463846,0.2048289334,0.0098599420,0.0608540614,2,3,5,0.7455689626,4.6015381609
B076,Bank 076,124.6432319217,12.2265379620,98.4031910674,14.0135028923,34.2188782073,78.0829307742,12.3414229402,0.0990139838,0.0980922732,0.2990982294,7.0448956750,110.9288272588,12.2265379620,98.4031910674,76.3481230781,27.5358085057,0.2482295106,0.1102196630,0.0026963075,0.0635082498,4,5,9,0.2990982294,7.0448956750
B077,Bank 077,126.0753883188,28.8491616577,20.9039547330,76.3222719281,49.6225197691,66.3441712548,10.1086972948,0.0801797831,0.2288246901,1.9960165753,3.4784915362,63.2097086002,35.4945343126,25.7191577123,49.6225197691,10.1086972948,0.1599231751,0.5615361168,0.0315776899,0.0550309693,3,4,7,1.9960165753,3.4784915362
B078,Bank 078,206.0554134787,25.5980886700,40.1608882229,140.2964365858,109.9552911302,70.0079367023,26.0921856462,0.1266270330,0.1242291490,11.8359619184,3.7765676585,139.8240444349,49.8220994268,78.1659830896,109.9552911302,26.0921856462,0.1866072874,0.3563199708,0.0846489741,0.0270094294,6,3,9,11.8359619184,3.7765676585
B079,Bank 079,172.0885057530,5.7807503337,98.9766009288,67.3311544905,85.3083832137,49.1140390677,37.6660834716,0.2188762306,0.0335917283,3.0663929899,4.6658775370,127.6403442223,6.8742756616,117.6996755708,85.3083832137,37.6660834716,0.2950954395,0.0538566055,0.0240236973,0.0365548806,2,9,11,3.0663929899,4.6658775370
B080,Bank 080,277.6905427498,25.3655359387,135.9697185893,116.3552882218,90.0059671470,128.5554354125,59.1291401903,0.2129317751,0.0913446158,4.7324163730,10.2343038648,166.0676709010,25.3655359387,135.9697185893,94.0484984676,61.7848685687,0.3720463365,0.1527421671,0.0284969154,0.0616273102,7,5,12,4.7324163730,10.2343038648
